Priority-5 0.000000 0.000000 0.000000
Priority-10 0.000000 0.000000 0.000000
Priority-15 0.000000 0.000000 0.000000
Priority-20 0.000000 0.000000 0.000000
Priority-25 0.000000 0.000000 0.000000
Priority-30 0.000000 0.000000 0.000000
Priority-5 0.000000 0.000000 0.000000
Priority-5 5.007632 4.226653 3.458803
Priority-5 6.521342 3.459619 3.422626
Priority-10 4.476509 2.578104 2.506142
Priority-15 4.391903 2.568254 2.502243
Priority-20 4.366086 2.605185 2.507269
Priority-25 4.482144 2.681105 2.565655
Priority-30 3.539286 2.676027 2.488563
